test number,min cost (ground truth),enter you results here,,,,status,"File Name,Cost, Number of Nodes Expanded, Number of Nodes Generated,Runtime"
instances/test_1.txt,41,"instances\test_1.txt,41",,,41,good,"instances\test_1.txt,41, 137, 273,0.10372257232666016"
instances/test_10.txt,19,"instances\test_10.txt,19",,,19,good,"instances\test_10.txt,19, 4, 7,0.012964963912963867"
instances/test_11.txt,35,"instances\test_11.txt,35",,,35,good,"instances\test_11.txt,35, 3, 5,0.0079498291015625"
instances/test_12.txt,36,"instances\test_12.txt,36",,,36,good,"instances\test_12.txt,36, 8, 15,0.009940862655639648"
instances/test_13.txt,36,"instances\test_13.txt,36",,,36,good,"instances\test_13.txt,36, 14, 27,0.01595759391784668"
instances/test_14.txt,24,"instances\test_14.txt,24",,,24,good,"instances\test_14.txt,24, 2, 3,0.0035033226013183594"
instances/test_15.txt,50,"instances\test_15.txt,50",,,50,good,"instances\test_15.txt,50, 16, 31,0.04384660720825195"
instances/test_16.txt,51,"instances\test_16.txt,51",,,51,good,"instances\test_16.txt,51, 21, 41,0.04088997840881348"
instances/test_17.txt,39,"instances\test_17.txt,39",,,39,good,"instances\test_17.txt,39, 1, 1,0.004992246627807617"
instances/test_18.txt,32,"instances\test_18.txt,32",,,32,good,"instances\test_18.txt,32, 9, 17,0.008949756622314453"
instances/test_19.txt,47,"instances\test_19.txt,47",,,47,good,"instances\test_19.txt,47, 8, 15,0.010969400405883789"
instances/test_2.txt,18,"instances\test_2.txt,18",,,18,good,"instances\test_2.txt,18, 1, 1,0.0029900074005126953"
instances/test_20.txt,28,"instances\test_20.txt,28",,,28,good,"instances\test_20.txt,28, 2, 3,0.004988670349121094"
instances/test_21.txt,46,"instances\test_21.txt,46",,,46,good,"instances\test_21.txt,46, 8, 15,0.012964963912963867"
instances/test_22.txt,51,"instances\test_22.txt,51",,,51,good,"instances\test_22.txt,51, 43, 85,0.04185819625854492"
instances/test_23.txt,32,"instances\test_23.txt,32",,,32,good,"instances\test_23.txt,32, 3, 5,0.00598454475402832"
instances/test_24.txt,47,"instances\test_24.txt,47",,,47,good,"instances\test_24.txt,47, 21, 41,0.021460533142089844"
instances/test_25.txt,40,"instances\test_25.txt,40",,,40,good,"instances\test_25.txt,40, 9, 17,0.01196742057800293"
instances/test_26.txt,42,"instances\test_26.txt,43",,,43,BAD,"instances\test_26.txt,42, 8, 15,0.0369415283203125"
instances/test_27.txt,40,"instances\test_27.txt,40",,,40,good,"instances\test_27.txt,40, 9, 17,0.012965679168701172"
instances/test_28.txt,41,"instances\test_28.txt,41",,,41,good,"instances\test_28.txt,41, 11, 21,0.012963294982910156"
instances/test_29.txt,48,"instances\test_29.txt,48",,,48,good,"instances\test_29.txt,48, 18, 35,0.020915508270263672"
instances/test_3.txt,28,"instances\test_3.txt,28",,,28,good,"instances\test_3.txt,28, 1, 1,0.002990245819091797"
instances/test_30.txt,43,"instances\test_30.txt,43",,,43,good,"instances\test_30.txt,43, 483, 965,0.36599254608154297"
instances/test_31.txt,39,"instances\test_31.txt,39",,,39,good,"instances\test_31.txt,39, 16, 31,0.01304006576538086"
instances/test_32.txt,30,"instances\test_32.txt,30",,,30,good,"instances\test_32.txt,30, 4, 7,0.004960060119628906"
instances/test_33.txt,28,"instances\test_33.txt,28",,,28,good,"instances\test_33.txt,28, 13, 25,0.011970758438110352"
instances/test_34.txt,33,"instances\test_34.txt,33",,,33,good,"instances\test_34.txt,33, 3, 5,0.003989219665527344"
instances/test_35.txt,30,"instances\test_35.txt,30",,,30,good,"instances\test_35.txt,30, 3, 5,0.006131172180175781"
instances/test_36.txt,23,"instances\test_36.txt,23",,,23,good,"instances\test_36.txt,23, 2, 3,0.004960060119628906"
instances/test_37.txt,38,"instances\test_37.txt,38",,,38,good,"instances\test_37.txt,38, 61, 121,0.04085350036621094"
instances/test_38.txt,28,"instances\test_38.txt,28",,,28,good,"instances\test_38.txt,28, 1, 1,0.0029926300048828125"
instances/test_39.txt,35,"instances\test_39.txt,35",,,35,good,"instances\test_39.txt,35, 3, 5,0.003988981246948242"
instances/test_4.txt,32,"instances\test_4.txt,32",,,32,good,"instances\test_4.txt,32, 21, 41,0.01495814323425293"
instances/test_40.txt,24,"instances\test_40.txt,24",,,24,good,"instances\test_40.txt,24, 2, 3,0.020943164825439453"
instances/test_41.txt,45,"instances\test_41.txt,46",,,46,BAD,"instances\test_41.txt,45, 422, 843,0.3869643211364746"
instances/test_42.txt,57,"instances\test_42.txt,57",,,57,good,"instances\test_42.txt,57, 348, 695,0.30913853645324707"
instances/test_43.txt,43,"instances\test_43.txt,43",,,43,good,"instances\test_43.txt,43, 9, 17,0.013188600540161133"
instances/test_44.txt,33,"instances\test_44.txt,33",,,33,good,"instances\test_44.txt,33, 20, 39,0.013498783111572266"
instances/test_45.txt,24,"instances\test_45.txt,24",,,24,good,"instances\test_45.txt,24, 2, 3,0.004960298538208008"
instances/test_46.txt,57,"instances\test_46.txt,57",,,57,good,"instances\test_46.txt,57, 29, 57,0.0337977409362793"
instances/test_47.txt,65,"instances\test_47.txt,65",,,65,good,"instances\test_47.txt,65, 198143, 396285,320.87821865081787"
instances/test_48.txt,36,"instances\test_48.txt,36",,,36,good,"instances\test_48.txt,36, 8, 15,0.008978843688964844"
instances/test_49.txt,42,"instances\test_49.txt,42",,,42,good,"instances\test_49.txt,42, 12, 23,0.012967348098754883"
instances/test_5.txt,26,"instances\test_5.txt,26",,,26,good,"instances\test_5.txt,26, 10, 19,0.008973836898803711"
instances/test_50.txt,48,"instances\test_50.txt,48",,,48,good,"instances\test_50.txt,48, 21, 41,0.04484963417053223"
instances/test_6.txt,24,"instances\test_6.txt,24",,,24,good,"instances\test_6.txt,24, 3, 5,0.0049397945404052734"
instances/test_7.txt,34,"instances\test_7.txt,34",,,34,good,"instances\test_7.txt,34, 2, 3,0.0049877166748046875"
instances/test_8.txt,38,"instances\test_8.txt,38",,,38,good,"instances\test_8.txt,38, 302, 603,0.2423241138458252"
instances/test_9.txt,24,"instances\test_9.txt,24",,,24,good,"instances\test_9.txt,24, 1, 1,0.0029532909393310547"
